PLAYER_NAME,GAME_NUMBER,GAME_PLAYED,DATE,AGE,TEAM,HOME_AWAY,OPP,RESULT,GS,MP,MIN,SEC,SECONDS_PLAYED,FG,FGA,FG_PERCENT,THREEP,THREEPA,THREEP_PERCENT,FT,FTA,FT_PERCENT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,PLUS_MINUS
Tyreke Evans,65,60.0,3/10/2010,20-172,SAC,,TOR,W (+23),1,36:17:00,36,17,00,7.0,15.0,0.467,0.0,2.0,0.0,5.0,7.0,0.7140000000000001,1.0,9.0,10.0,10.0,0.0,0.0,2.0,2.0,19.0,18.1,19.0
Tyreke Evans,66,61.0,3/12/2010,20-174,SAC,,POR,L (-16),1,37:35:00,37,35,00,4.0,12.0,0.33299999999999996,0.0,2.0,0.0,2.0,2.0,1.0,0.0,10.0,10.0,4.0,0.0,0.0,5.0,4.0,10.0,2.4,-19.0
Tyreke Evans,67,62.0,3/14/2010,20-176,SAC,,MIN,W (+14),1,38:45:00,38,45,00,10.0,19.0,0.526,2.0,5.0,0.4,7.0,7.0,1.0,1.0,8.0,9.0,11.0,2.0,0.0,2.0,2.0,29.0,29.7,25.0
Tyreke Evans,68,63.0,3/16/2010,20-178,SAC,,LAL,L (-7),1,42:22:00,42,22,00,7.0,19.0,0.368,1.0,5.0,0.2,10.0,14.0,0.7140000000000001,2.0,9.0,11.0,9.0,0.0,0.0,1.0,3.0,25.0,21.1,-13.0
Tyreke Evans,69,64.0,3/19/2010,20-181,SAC,,MIL,L (-6),1,38:40:00,38,40,00,4.0,8.0,0.5,0.0,1.0,0.0,7.0,10.0,0.7,0.0,4.0,4.0,4.0,2.0,0.0,8.0,3.0,15.0,6.6,-12.0
Tyreke Evans,75,65.0,3/30/2010,20-192,SAC,@,IND,L (-7),1,38:39:00,38,39,00,6.0,13.0,0.462,1.0,2.0,0.5,4.0,4.0,1.0,0.0,7.0,7.0,10.0,4.0,0.0,7.0,3.0,17.0,15.2,-9.0
Tyreke Evans,76,66.0,3/31/2010,20-193,SAC,@,MIN,L (-9),1,39:06:00,39,06,00,7.0,19.0,0.368,1.0,2.0,0.5,5.0,7.0,0.7140000000000001,3.0,4.0,7.0,13.0,3.0,0.0,1.0,2.0,20.0,22.3,-3.0
Tyreke Evans,77,67.0,4/3/2010,20-196,SAC,,POR,L (-11),1,34:18:00,34,18,00,2.0,12.0,0.16699999999999998,1.0,3.0,0.33299999999999996,1.0,3.0,0.33299999999999996,2.0,3.0,5.0,6.0,1.0,0.0,4.0,3.0,6.0,-0.1,-18.0
Tyreke Evans,78,68.0,4/6/2010,20-199,SAC,,SAS,L (-9),1,42:32:00,42,32,00,10.0,24.0,0.41700000000000004,1.0,2.0,0.5,1.0,2.0,0.5,1.0,8.0,9.0,6.0,0.0,0.0,4.0,5.0,22.0,10.1,-16.0
Tyreke Evans,79,69.0,4/8/2010,20-201,SAC,,LAC,W (+22),1,36:58:00,36,58,00,12.0,19.0,0.632,0.0,2.0,0.0,4.0,5.0,0.8,1.0,5.0,6.0,7.0,2.0,0.0,3.0,2.0,28.0,24.4,2.0
Tyreke Evans,80,70.0,4/10/2010,20-203,SAC,,DAL,L (-18),1,42:07:00,42,07,00,10.0,21.0,0.47600000000000003,0.0,2.0,0.0,7.0,8.0,0.875,2.0,6.0,8.0,6.0,2.0,1.0,4.0,3.0,27.0,20.8,-15.0
Tyreke Evans,81,71.0,4/12/2010,20-205,SAC,,HOU,L (-10),1,37:53:00,37,53,00,8.0,23.0,0.348,0.0,1.0,0.0,8.0,10.0,0.8,2.0,4.0,6.0,4.0,3.0,0.0,4.0,2.0,24.0,13.9,-4.0
Tyreke Evans,82,72.0,4/13/2010,20-206,SAC,@,LAL,L (-6),1,15:56,15,56,,5.0,7.0,0.7140000000000001,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,10.0,8.3,3.0
Kyrie Irvine,1,1.0,12/26/2011,19-278,CLE,,TOR,L (-8),1,26:01:00,26,01,00,2.0,12.0,0.16699999999999998,1.0,5.0,0.2,1.0,1.0,1.0,0.0,3.0,3.0,7.0,1.0,0.0,1.0,2.0,6.0,3.4,-10.0
Kyrie Irvine,2,2.0,12/28/2011,19-280,CLE,@,DET,W (+16),1,19:50,19,50,,5.0,9.0,0.556,0.0,0.0,,4.0,4.0,1.0,1.0,3.0,4.0,7.0,2.0,0.0,3.0,1.0,14.0,14.8,4.0
