Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
59,59,3/4/2013,22-232,POR,,CHA,W (+17),1,38:06:00,8,15,0.533,3,8,0.375,1,2,0.5,0,3,3,7,2,0,2,1,20,17.7,17
60,60,3/6/2013,22-234,POR,@,MEM,L (-6),1,36:17:00,8,16,0.5,2,6,0.333,2,3,0.667,0,0,0,4,1,0,2,2,20,12.6,-6
61,61,3/8/2013,22-236,POR,@,SAS,W (+30),1,39:59:00,12,20,0.6,3,4,0.75,8,8,1,1,2,3,9,2,0,0,3,35,34.2,33
62,62,3/10/2013,22-238,POR,@,NOH,L (-2),1,37:47:00,9,16,0.563,2,5,0.4,0,1,0,0,2,2,8,1,0,4,0,20,15.2,5
63,63,3/12/2013,22-240,POR,,MEM,L (-5),1,38:43:00,8,17,0.471,3,5,0.6,8,8,1,0,1,1,7,0,0,2,3,27,20.3,-4
64,64,3/14/2013,22-242,POR,,NYK,W (+15),1,40:11:00,11,18,0.611,4,11,0.364,0,1,0,1,1,2,10,2,0,1,3,26,25.2,25
65,65,3/16/2013,22-244,POR,,DET,W (+11),1,38:07:00,3,12,0.25,1,5,0.2,7,7,1,0,2,2,7,0,0,2,3,14,9.1,8
66,66,3/18/2013,22-246,POR,@,PHI,L (-1),1,41:57:00,10,20,0.5,5,7,0.714,2,3,0.667,2,5,7,7,0,0,4,3,27,19.2,2
67,67,3/19/2013,22-247,POR,@,MIL,L (-7),1,44:35:00,2,10,0.2,0,4,0,4,4,1,0,3,3,11,1,0,6,3,8,4.2,-3
68,68,3/21/2013,22-249,POR,@,CHI,W (+10),1,37:28:00,9,17,0.529,4,7,0.571,2,2,1,1,3,4,7,0,0,5,1,24,16.8,11
69,69,3/22/2013,22-250,POR,@,ATL,W (+11),1,38:36:00,8,16,0.5,4,5,0.8,2,2,1,0,3,3,4,0,0,2,3,22,14.5,13
70,70,3/24/2013,22-252,POR,@,OKC,L (-20),1,38:03:00,7,16,0.438,4,9,0.444,1,2,0.5,2,2,4,6,0,0,2,1,19,14,-11
71,71,3/27/2013,22-255,POR,,BRK,L (-18),1,34:22:00,4,12,0.333,3,5,0.6,4,5,0.8,1,3,4,3,0,0,5,0,15,6.5,-14
72,72,3/29/2013,22-257,POR,,UTA,L (-10),1,39:31:00,7,16,0.438,0,1,0,10,14,0.714,0,2,2,7,1,0,2,3,24,17.3,-15
73,73,3/30/2013,22-258,POR,@,GSW,L (-27),1,31:26:00,4,11,0.364,2,3,0.667,6,7,0.857,0,1,1,8,1,0,3,4,16,11.8,-8
74,74,4/1/2013,22-260,POR,@,UTA,L (-10),1,39:29:00,7,16,0.438,3,7,0.429,0,0,,0,5,5,5,0,1,2,2,17,11.5,-16
75,75,4/3/2013,22-262,POR,,MEM,L (-18),1,40:44:00,8,19,0.421,1,6,0.167,0,1,0,0,4,4,6,0,1,5,3,17,6.4,-14
76,76,4/5/2013,22-264,POR,,HOU,L (-18),1,40:23:00,4,12,0.333,1,2,0.5,2,3,0.667,2,1,3,7,2,0,3,1,11,9,-15
77,77,4/7/2013,22-266,POR,,DAL,L (-5),1,40:23:00,6,19,0.316,0,5,0,3,5,0.6,0,1,1,4,0,0,0,2,15,5.6,3
78,78,4/10/2013,22-269,POR,,LAL,L (-7),1,42:47:00,12,25,0.48,5,11,0.455,9,9,1,0,1,1,9,3,0,2,2,38,32.1,-1
79,79,4/12/2013,22-271,POR,,OKC,L (-16),1,37:13:00,3,14,0.214,1,5,0.2,3,4,0.75,1,2,3,8,1,0,1,4,10,6.3,-12
80,80,4/14/2013,22-273,POR,@,DEN,L (-9),1,39:35:00,10,17,0.588,4,10,0.4,6,7,0.857,0,5,5,6,1,2,8,2,30,21,-12
81,81,4/16/2013,22-275,POR,@,LAC,L (-16),1,40:02:00,4,12,0.333,2,7,0.286,2,3,0.667,0,3,3,8,0,0,4,2,12,6.5,-16
82,82,4/17/2013,22-276,POR,,GSW,L (-11),1,37:36:00,7,13,0.538,2,5,0.4,5,6,0.833,0,1,1,3,1,0,2,2,21,14.9,-8
