Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
50,50,2/4/2017,24-055,MIL,@,PHO,W (+25),0,25:35:00,5,8,0.625,1,1,1,2,3,0.667,2,3,5,8,3,1,1,1,13,19.2,28
51,51,2/8/2017,24-059,MIL,,MIA,L (-18),0,32:59:00,2,7,0.286,0,1,0,2,4,0.5,1,1,2,6,3,0,1,2,6,7.5,1
52,52,2/10/2017,24-061,MIL,,LAL,L (-8),0,26:51:00,8,11,0.727,1,3,0.333,1,1,1,0,2,2,3,1,0,4,3,18,12,11
53,53,2/11/2017,24-062,MIL,@,IND,W (+16),0,36:10:00,5,14,0.357,2,6,0.333,5,6,0.833,0,3,3,3,0,0,0,2,17,11,24
54,54,2/13/2017,24-064,MIL,,DET,W (+13),0,20:43,2,6,0.333,0,0,,3,3,1,1,0,1,5,1,0,0,1,7,8.4,2
55,55,2/15/2017,24-066,MIL,@,BRK,W (+4),0,15:56,1,3,0.333,1,1,1,5,6,0.833,0,2,2,4,1,0,3,1,8,6.9,8
56,56,2/24/2017,24-075,MIL,,UTA,L (-14),0,22:24,2,6,0.333,1,3,0.333,3,3,1,0,1,1,4,0,0,1,3,8,5.5,-8
57,57,2/26/2017,24-077,MIL,,PHO,W (+4),0,23:50,6,9,0.667,1,3,0.333,2,2,1,0,0,0,7,2,0,2,3,15,14.8,6
58,58,2/27/2017,24-078,MIL,@,CLE,L (-7),0,31:13:00,8,15,0.533,3,7,0.429,1,3,0.333,0,3,3,5,1,0,2,2,20,14.5,0
59,59,3/1/2017,24-080,MIL,,DEN,L (-12),1,33:54:00,7,16,0.438,2,3,0.667,1,1,1,1,1,2,3,3,0,1,1,17,13.3,-9
60,60,3/3/2017,24-082,MIL,,LAC,W (+11),1,23:37,4,8,0.5,4,5,0.8,0,0,,0,3,3,0,0,0,1,3,12,6.7,-11
61,61,3/4/2017,24-083,MIL,,TOR,W (+7),1,41:32:00,6,13,0.462,0,4,0,5,6,0.833,1,4,5,3,0,0,1,1,17,12.5,7
62,62,3/6/2017,24-085,MIL,@,PHI,W (+14),1,20:49,6,7,0.857,1,1,1,0,0,,1,4,5,1,1,1,2,0,13,12.8,10
63,63,3/8/2017,24-087,MIL,,NYK,W (+11),1,22:19,1,8,0.125,0,3,0,2,2,1,1,0,1,3,1,0,1,1,4,1.2,-7
64,,3/10/2017,24-089,MIL,,IND,W (+14),Not With Team,,,,,,,,,,,,,,,,,,,,,
65,,3/11/2017,24-090,MIL,,MIN,W (+7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
66,64,3/13/2017,24-092,MIL,@,MEM,L (-20),0,32:23:00,5,10,0.5,3,5,0.6,2,2,1,2,0,2,8,1,1,3,4,15,14.1,-7
67,65,3/15/2017,24-094,MIL,@,LAC,W (+1),1,25:41:00,5,10,0.5,1,3,0.333,0,0,,0,2,2,5,1,0,0,2,11,10.3,-9
68,66,3/17/2017,24-096,MIL,@,LAL,W (+4),1,31:35:00,2,7,0.286,0,4,0,2,2,1,0,5,5,2,2,0,2,3,6,3.6,-9
69,67,3/18/2017,24-097,MIL,@,GSW,L (-25),1,40:33:00,6,13,0.462,2,6,0.333,4,4,1,1,3,4,3,1,1,0,2,18,15.9,-15
70,68,3/21/2017,24-100,MIL,@,POR,W (+3),1,25:53:00,4,6,0.667,0,2,0,0,0,,1,6,7,4,1,0,1,3,8,9.5,0
71,69,3/22/2017,24-101,MIL,@,SAC,W (+18),1,29:15:00,5,8,0.625,2,4,0.5,0,0,,0,1,1,4,1,0,2,2,12,9.7,11
72,70,3/24/2017,24-103,MIL,,ATL,W (+3),1,35:19:00,6,14,0.429,1,4,0.25,1,1,1,1,2,3,7,0,0,3,3,14,8.6,-8
73,71,3/26/2017,24-105,MIL,,CHI,L (-15),1,30:13:00,5,12,0.417,0,1,0,4,4,1,3,1,4,4,2,0,1,1,14,13.4,-11
74,72,3/28/2017,24-107,MIL,@,CHO,W (+10),1,29:06:00,6,7,0.857,2,2,1,0,0,,0,3,3,10,1,0,1,1,14,19,12
75,73,3/29/2017,24-108,MIL,@,BOS,W (+3),1,28:43:00,7,12,0.583,0,1,0,2,2,1,0,4,4,9,1,1,0,4,16,18,-10
76,,3/31/2017,24-110,MIL,,DET,W (+3),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
77,,4/2/2017,24-112,MIL,,DAL,L (-4),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
78,,4/4/2017,24-114,MIL,@,OKC,L (-31),Not With Team,,,,,,,,,,,,,,,,,,,,,
79,,4/6/2017,24-116,MIL,@,IND,L (-15),Not With Team,,,,,,,,,,,,,,,,,,,,,
80,,4/8/2017,24-118,MIL,@,PHI,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
81,74,4/10/2017,24-120,MIL,,CHO,W (+10),1,25:16:00,2,6,0.333,1,3,0.333,0,0,,1,3,4,3,0,0,3,0,5,2.3,19
82,75,4/12/2017,24-122,MIL,@,BOS,L (-18),1,23:19,5,10,0.5,1,2,0.5,0,0,,2,3,5,3,1,1,0,0,11,12.1,1
