PLAYER_NAME,GAME_NUMBER,GAME_PLAYED,DATE,AGE,TEAM,HOME_AWAY,OPP,RESULT,GS,MP,MIN,SEC,SECONDS_PLAYED,FG,FGA,FG_PERCENT,THREEP,THREEPA,THREEP_PERCENT,FT,FTA,FT_PERCENT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,PLUS_MINUS,SEASON
Russell Westbrook,74,74,2017-03-29,28,OKC,@,ORL,W (+8),1,41:49:00,41,49,2509,21,40,0.525,6,15,0.4,9,11,0.818,3,10,13,11,3,0,7,3,57,44.2,+8,2016-17
Russell Westbrook,75,75,2017-03-31,28,OKC,,SAS,L (-5),1,36:59:00,36,59,2219,8,22,0.364,2,7,0.286,14,15,0.933,2,13,15,12,0,0,8,1,32,24.7,-10,2016-17
Russell Westbrook,76,76,2017-04-02,28,OKC,,CHO,L (-12),1,36:12:00,36,12,2172,14,31,0.452,7,15,0.467,5,5,1,1,12,13,10,2,0,8,1,40,28.8,-6,2016-17
Russell Westbrook,77,77,2017-04-04,28,OKC,,MIL,W (+31),1,27:05:00,27,5,1625,4,12,0.333,2,4,0.5,2,2,1,3,10,13,13,2,0,3,2,12,17.6,+19,2016-17
Russell Westbrook,78,78,2017-04-05,28,OKC,@,MEM,W (+3),1,37:32:00,37,32,2252,14,25,0.56,8,13,0.615,9,12,0.75,0,9,9,10,4,0,7,4,45,37,+3,2016-17
Russell Westbrook,79,79,2017-04-07,28,OKC,@,PHO,L (-21),1,36:24:00,36,24,2184,6,25,0.24,2,12,0.167,9,9,1,6,6,12,8,0,1,8,5,23,10.2,-15,2016-17
Russell Westbrook,80,80,2017-04-09,28,OKC,@,DEN,W (+1),1,36:57:00,36,57,2217,17,32,0.531,5,12,0.417,11,11,1,2,14,16,10,1,0,2,1,50,45.6,+10,2016-17
Russell Westbrook,81,,2017-04-11,28,OKC,@,MIN,W (+2),,,,,,,,,,,,,,,,,,,,,,,,,,2016-17
Russell Westbrook,82,81,2017-04-12,28,OKC,,DEN,L (-6),1,18:19,18,19,1099,2,10,0.2,1,5,0.2,0,0,,0,5,5,8,0,1,3,2,5,2.8,-5,2016-17
James Harden,1,1,2017-10-17,28,HOU,@,GSW,W (+1),1,36:24:00,36,24,2184,10,23,0.435,4,9,0.444,3,4,0.75,1,5,6,11,1,0,3,2,27,21.6,+1,2017-18
James Harden,2,2,2017-10-18,28,HOU,@,SAC,W (+5),1,37:46:00,37,46,2266,8,21,0.381,4,14,0.286,7,8,0.875,2,1,3,9,2,0,2,1,27,22.7,+1,2017-18
James Harden,3,3,2017-10-21,28,HOU,,DAL,W (+16),1,30:45:00,30,45,1845,10,19,0.526,6,13,0.462,3,4,0.75,0,3,3,7,2,0,5,5,29,20.1,+31,2017-18
James Harden,4,4,2017-10-23,28,HOU,,MEM,L (-8),1,35:08:00,35,8,2108,8,20,0.4,2,8,0.25,4,8,0.5,1,4,5,8,1,0,7,4,22,9.5,-14,2017-18
James Harden,5,5,2017-10-25,28,HOU,@,PHI,W (+1),1,41:26:00,41,26,2486,10,20,0.5,2,8,0.25,5,5,1,0,3,3,13,1,3,8,1,27,21.7,+9,2017-18
James Harden,6,6,2017-10-27,28,HOU,@,CHO,W (+16),1,36:56:00,36,56,2216,8,18,0.444,4,10,0.4,7,8,0.875,0,10,10,11,1,0,5,4,27,22.3,-1,2017-18
James Harden,7,7,2017-10-28,28,HOU,@,MEM,L (-14),1,33:37:00,33,37,2017,6,19,0.316,2,9,0.222,6,7,0.857,1,3,4,8,2,0,3,3,20,13.7,-13,2017-18
James Harden,8,8,2017-10-30,28,HOU,,PHI,L (-8),1,38:27:00,38,27,2307,8,21,0.381,3,7,0.429,10,12,0.833,1,3,4,7,4,1,7,2,29,20.1,-12,2017-18
James Harden,9,9,2017-11-01,28,HOU,@,NYK,W (+22),1,34:47:00,34,47,2087,9,23,0.391,6,17,0.353,7,9,0.778,1,4,5,9,0,0,7,5,31,16.9,+21,2017-18
James Harden,10,10,2017-11-03,28,HOU,@,ATL,W (+15),1,30:56:00,30,56,1856,8,15,0.533,6,11,0.545,7,10,0.7,1,2,3,11,1,0,2,0,29,28.5,+19,2017-18
James Harden,11,11,2017-11-05,28,HOU,,UTA,W (+27),1,35:15:00,35,15,2115,19,25,0.76,7,8,0.875,11,12,0.917,0,2,2,13,2,0,7,3,56,49.2,+25,2017-18
James Harden,12,12,2017-11-09,28,HOU,,CLE,W (+4),1,42:41:00,42,41,2561,8,21,0.381,6,14,0.429,13,14,0.929,1,10,11,13,5,1,5,4,35,35,+3,2017-18
James Harden,13,13,2017-11-11,28,HOU,,MEM,W (+15),1,37:35:00,37,35,2255,11,25,0.44,6,14,0.429,10,14,0.714,0,4,4,8,0,1,3,3,38,26.6,+23,2017-18
James Harden,14,14,2017-11-12,28,HOU,@,IND,W (+23),1,33:34:00,33,34,2014,9,21,0.429,3,12,0.25,5,5,1,0,5,5,15,2,0,3,1,26,25.5,+25,2017-18
James Harden,15,15,2017-11-14,28,HOU,,TOR,L (-16),1,39:22:00,39,22,2362,8,25,0.32,3,11,0.273,19,19,1,1,5,6,11,0,1,9,5,38,23.3,-2,2017-18
James Harden,16,16,2017-11-16,28,HOU,@,PHO,W (+26),1,34:37:00,34,37,2077,12,22,0.545,6,11,0.545,18,18,1,0,2,2,7,2,1,5,3,48,39.4,+15,2017-18
James Harden,17,17,2017-11-18,28,HOU,@,MEM,W (+22),1,35:47:00,35,47,2147,9,20,0.45,6,12,0.5,5,5,1,0,5,5,7,3,0,3,3,29,23.8,+5,2017-18
James Harden,18,18,2017-11-22,28,HOU,,DEN,W (+30),1,31:38:00,31,38,1898,6,16,0.375,1,7,0.143,8,9,0.889,1,7,8,9,0,0,7,1,21,13.5,+29,2017-18
James Harden,19,19,2017-11-25,28,HOU,,NYK,W (+15),1,36:52:00,36,52,2212,12,27,0.444,5,13,0.385,8,10,0.8,0,2,2,10,3,0,1,1,37,31.3,+2,2017-18
James Harden,20,20,2017-11-27,28,HOU,,BRK,W (+14),1,35:47:00,35,47,2147,13,20,0.65,8,13,0.615,3,4,0.75,0,10,10,8,2,2,4,2,37,35,+22,2017-18
James Harden,21,21,2017-11-29,28,HOU,,IND,W (+21),1,35:19:00,35,19,2119,8,22,0.364,4,12,0.333,9,9,1,2,6,8,10,1,0,1,2,29,26.2,+26,2017-18
James Harden,22,22,2017-12-03,28,HOU,@,LAL,W (+23),1,35:18:00,35,18,2118,13,22,0.591,4,9,0.444,6,7,0.857,1,3,4,9,2,0,4,3,36,30.1,+11,2017-18
James Harden,23,23,2017-12-07,28,HOU,@,UTA,W (+11),1,35:09:00,35,9,2109,8,19,0.421,4,12,0.333,9,9,1,0,6,6,3,1,0,3,2,29,20,+12,2017-18
James Harden,24,24,2017-12-09,28,HOU,@,POR,W (+7),1,37:19:00,37,19,2239,16,29,0.552,4,7,0.571,12,14,0.857,1,7,8,3,3,0,2,2,48,38.4,+9,2017-18
James Harden,25,25,2017-12-11,28,HOU,,NOP,W (+7),1,34:57:00,34,57,2097,8,16,0.5,4,10,0.4,6,9,0.667,0,1,1,17,6,0,3,3,26,30.8,-2,2017-18
James Harden,26,26,2017-12-13,28,HOU,,CHO,W (+12),1,31:15:00,31,15,1875,8,22,0.364,3,10,0.3,2,2,1,0,4,4,8,1,1,3,3,21,13.1,-6,2017-18
James Harden,27,27,2017-12-15,28,HOU,,SAS,W (+15),1,33:01:00,33,1,1981,6,18,0.333,2,11,0.182,14,16,0.875,0,7,7,6,2,1,5,2,28,20.2,+12,2017-18
James Harden,28,28,2017-12-16,28,HOU,,MIL,W (+4),1,39:12:00,39,12,2352,8,21,0.381,4,10,0.4,11,14,0.786,0,6,6,5,0,1,3,4,31,19.7,+1,2017-18
James Harden,29,29,2017-12-18,28,HOU,,UTA,W (+21),1,37:55:00,37,55,2275,6,17,0.353,4,12,0.333,10,10,1,0,6,6,6,2,1,5,2,26,19.4,+13,2017-18
